id,created_at,merchant,date,category,payment_source,amount,user_name,items,receipt_url,transfer_to
85c5dedb-aa50-40c5-8bb5-c67a01e15a4d,2026-07-19 02:39:00.127599+00,Raket mizuno :(((,2026-07-19,Hiburan,Mandiri Suami,1229000.00,Suami,[],,
898f7a6f-9863-4423-b47e-36096ffd1798,2026-07-14 12:44:04.861892+00,Qays dapat amplop,2026-07-14,Pendapatan,Cash Istri,600000.00,Istri,[],,
89f98f94-442c-4d9d-9f00-3e672422ad41,2026-07-06 12:34:53.581832+00,Cakue pasar,2026-07-06,Makanan,Cash Suami,10000.00,Suami,[],,
8b540d42-2388-4586-8ba7-4b45a23a17dd,2026-07-10 02:06:18.640614+00,Rocket chicken,2026-07-09,Makanan,OVO Suami,32000.00,Suami,[],,
90679bd3-b5cf-4343-bdbd-05e9bdc19c21,2026-07-13 10:37:22.963731+00,Pindah saldo,2026-07-13,Transfer,Cash Istri,200000.00,Istri,[],,Cash Suami
91104631-8d2a-45ee-b5e5-eead0b76eb5c,2026-07-19 07:18:04.900108+00,Transfer cash,2026-07-19,Transfer,Cash Istri,250000.00,Istri,[],,Cash Suami
98183753-11f6-48bf-aab3-605d8db7784d,2026-07-17 06:37:45.743979+00,Geprek jon,2026-07-17,Makanan,Mandiri Suami,28000.00,Suami,[],,
9cd16484-2c0f-4973-9e5f-7ec926b00367,2026-07-16 13:39:58.70506+00,Parkir stasiun,2026-07-16,Transportasi,Cash Suami,6000.00,Suami,[],,
9cf37856-6d05-492d-9bc9-1e11a4738387,2026-07-04 11:42:59.548729+00,Ambil cash,2026-07-04,Transfer,Mandiri Suami,500000.00,Suami,[],,Cash Suami
9de70612-5ffb-4241-a533-3f4f04b1edb1,2026-07-11 11:07:02.559526+00,Maksi grabb,2026-07-11,Makanan,OVO Istri,15000.00,Istri,[],,
9e36e69a-79e0-4410-807c-ad0e5c9c71c0,2026-07-16 01:26:31.919404+00,Regency ke Pekoren,2026-07-15,Transportasi,OVO Istri,15000.00,Istri,[],,
9e8c90cd-650f-4e9b-8480-264a71bde050,2026-07-16 05:23:03.102743+00,Bak bayi+bantalan,2026-07-16,Kebutuhan Bayi,BNI Istri,155000.00,Istri,[],,
9ef168d9-d1ec-4959-a046-8c78f0c4406f,2026-07-14 12:42:11.411013+00,Kue basah,2026-07-14,Sosial & Ibadah,BNI Istri,50000.00,Suami,[],,
a1804b18-4e7f-4683-b08a-43c60ea44c80,2026-07-12 03:40:10.936675+00,Starlite internet,2026-07-12,Kebutuhan Bulanan,Mandiri Suami,100750.00,Suami,[],,
a4951f2d-d368-4c7a-98c6-4fb4d817f421,2026-07-15 04:45:38.957381+00,Tiket kereta pp mekari,2026-07-15,Transportasi,Mandiri Suami,16000.00,Suami,[],,
a49c906d-b725-41b3-a541-9fe4f1f8c4b4,2026-07-15 05:38:51.821551+00,Dadar beredar,2026-07-15,Makanan,Gopay Suami,37600.00,Suami,[],,
a4c59ace-be64-4a0a-99aa-642d8530db76,2026-07-18 03:49:24.870598+00,Isi ovo,2026-07-16,Transfer,BNI Istri,150000.00,Istri,[],,OVO Istri
a4d12841-06e4-463a-8aa6-079c8246521d,2026-07-11 14:37:15.839455+00,Pijet,2026-07-11,Kesehatan,Cash Suami,100000.00,Suami,[],,
a4d66aec-68e3-4a78-b138-228bad06f9be,2026-07-17 06:36:54.989182+00,Pak ogah,2026-07-17,Sosial & Ibadah,Cash Suami,2000.00,Suami,[],,
a65977cb-e9c3-487d-a839-9ee75ede42f7,2026-07-10 06:45:21.860139+00,Kupon obligasi,2026-07-10,Pendapatan,Mandiri Suami,43330.00,Suami,[],,
a682fffb-dd02-4e4a-82a1-2e063444f09e,2026-07-13 11:24:29.200299+00,Tip driver gofood,2026-07-13,Sosial & Ibadah,Gopay Suami,10000.00,Suami,[],,
a790a2f8-a978-494b-bcfc-cf67672e4f91,2026-07-06 15:26:23.636869+00,Pp ar rahma,2026-07-06,Transportasi,OVO Istri,16000.00,Istri,[],,
a9984472-7c6d-4afd-b917-1d6f6832499b,2026-07-05 12:36:48.894644+00,Bayar cicilan lemari,2026-07-05,Lain-lain,Mandiri Suami,500000.00,Suami,[],,
a9d7e5fc-ae27-4a8e-8626-65583a9317ce,2026-07-07 22:33:14.512488+00,Leminerale alfa,2026-07-08,Kebutuhan Bulanan,BNI Istri,48000.00,Istri,[],,
ab2e6bb5-6eca-41db-a963-93fc93254e62,2026-07-16 05:21:34.84989+00,Buku berwarna,2026-07-16,Kebutuhan Bayi,BNI Istri,50000.00,Istri,[],,
acf3bdd1-922b-4567-8156-20f946440377,2026-07-09 02:23:57.007615+00,Karcis stasiun bangil,2026-07-08,Transportasi,Cash Suami,6000.00,Suami,[],,
aeeba173-232d-4a5a-a6ba-2c1d712fe991,2026-07-05 05:11:04.995554+00,"AHASS FORTUNE MOTOR ",2026-07-05,Lain-lain,Cash Suami,385000.00,Suami,"[{""name"": ""AKI"", ""price"": 275000, ""category"": ""Lain-lain"", ""quantity"": 1}, {""name"": ""OLI GARDAN"", ""price"": 20000, ""category"": ""Lain-lain"", ""quantity"": 1}, {""name"": ""TUNE UP"", ""price"": 65000, ""category"": ""Lain-lain"", ""quantity"": 1}, {""name"": ""PEMBERSIHAN CVT"", ""price"": 45000, ""category"": ""Lain-lain"", ""quantity"": 1}]",,
af73b12e-c824-4d10-9b37-a8f896e4cca3,2026-07-13 14:26:52.504126+00,Ovoo,2026-07-13,Transfer,BNI Istri,159000.00,Istri,[],,OVO Istri
b164e689-1f15-42c8-a5e6-48a5aa15122f,2026-07-06 09:34:22.354751+00,Grab bike ke ar rahma,2026-07-06,Transportasi,OVO Suami,7000.00,Suami,[],,
b279bde4-afe2-4775-b194-5d4c8895247c,2026-07-09 02:26:48.084236+00,Ayam tulang lunak,2026-07-08,Makanan,OVO Istri,15000.00,Istri,[],,
b2f58328-91b1-4ba0-8b97-8ff3a85d0f4e,2026-07-11 03:32:48.583329+00,Badminton,2026-07-09,Kesehatan,Cash Suami,15000.00,Suami,[],,
b70f026c-12f6-4bee-a523-5cddb0342104,2026-07-04 11:44:00.594725+00,"Bayar utang makan ",2026-07-04,Makanan,Cash Suami,100000.00,Suami,[],,
b8abfb0c-7c71-4a32-802e-e2febd96b569,2026-07-11 14:37:02.29433+00,Grab pekoren,2026-07-11,Transportasi,OVO Istri,15000.00,Istri,[],,
b963d5a0-fb4b-4727-9078-7d1af70e51f6,2026-07-06 12:34:23.688598+00,Nasi goreng pak pri,2026-07-06,Makanan,Cash Suami,40000.00,Suami,[],,
bff15231-3a3c-43c8-83e2-3d49b0a76bba,2026-07-16 09:50:34.74102+00,Grab Regency,2026-07-16,Transportasi,OVO Istri,20000.00,Istri,[],,
c257eae9-4727-4a78-aeb4-e75f44f73933,2026-07-06 15:26:47.552906+00,Jajan alun2,2026-07-06,Makanan,Cash Istri,8000.00,Istri,[],,
c37178b6-fc2d-4e2a-a2ce-bcdd9e7b0e83,2026-07-19 02:38:34.966893+00,Pak prii,2026-07-18,Makanan,Cash Suami,60000.00,Suami,[],,
c378d087-a1c7-4054-b4ff-69a6b11d1fb0,2026-07-10 02:09:20.84482+00,Reimburse,2026-07-09,Pendapatan,Mandiri Suami,2137000.00,Suami,[],,
c59ed311-e7ca-497e-9c7f-f55852f64b22,2026-07-14 03:21:38.476683+00,Alfamidisusu,2026-07-14,Kebutuhan Bayi,BNI Istri,72000.00,Istri,[],,
c6c215a3-33f3-4f9b-9a1d-fbe6c30ab8e8,2026-07-09 07:03:23.863795+00,Grab,2026-07-09,Transportasi,OVO Istri,8000.00,Istri,[],,
c6df3293-2a9d-429d-b288-fd48da149185,2026-07-07 05:03:09.883301+00,Saldo awal gopay,2026-07-07,Saldo Awal,Gopay Suami,22931.00,Suami,[],,
c6e88e17-8592-4ece-bca1-174fb9773d99,2026-07-16 05:20:00.905271+00,2 Buku stimulasi,2026-07-16,Kebutuhan Bayi,BNI Istri,50000.00,Istri,[],,
c763932f-4e90-401f-aefd-971700803a57,2026-07-13 14:22:34.551638+00,Grab Arrahmah,2026-07-13,Transportasi,Cash Istri,10000.00,Istri,[],,
c7711597-cd24-4e27-9b30-7cb14b69d07a,2026-07-13 05:49:03.531013+00,Beli dispenser,2026-07-12,Lain-lain,Cash Istri,1250000.00,Istri,[],,
c924853a-ac31-410a-8e51-978ec8c7d89c,2026-07-16 00:22:46.57663+00,Roti o,2026-07-16,Makanan,Mandiri Suami,15000.00,Suami,[],,
c92622ee-99b6-455b-8f1e-85cdf39ae0c6,2026-07-07 06:47:36.99472+00,Donat untuk bancaan,2026-07-07,Makanan,Cash Istri,70000.00,Istri,[],,
cda343b5-f1d5-4ebe-bc3f-2ad1e6c74d7e,2026-07-05 11:17:00.927488+00,Saldo awal ovo,2026-07-05,Saldo Awal,OVO Istri,13000.00,Istri,[],,
ce153f38-97bc-4dce-ad43-b355e1536501,2026-07-05 08:38:37.079836+00,"Saldo awal bni ",2026-07-05,Saldo Awal,BNI Istri,2219000.00,Istri,[],,
d2f6c444-f542-44ff-bd70-4614e817e022,2026-07-04 07:19:27.372601+00,Set saldo awal,2026-07-04,Saldo Awal,Mandiri Suami,16837000.00,Suami,[],,
